Time,Open,High,Low,Close,Volume
2021-08-17 19:00,1.37358,1.37406,1.37335,1.37383,882
2021-08-17 20:00,1.37382,1.37442,1.37343,1.37436,1915
2021-08-17 21:00,1.37387,1.37393,1.37231,1.37387,640
2021-08-17 22:00,1.37387,1.37428,1.37351,1.37384,570
2021-08-17 23:00,1.37386,1.37416,1.37374,1.37396,367
2021-08-18 00:00,1.37395,1.37429,1.37368,1.37408,838
2021-08-18 01:00,1.37408,1.37512,1.37386,1.37512,1135
2021-08-18 02:00,1.37510,1.37549,1.37396,1.37537,1629
2021-08-18 03:00,1.37537,1.37586,1.37524,1.37525,925
2021-08-18 04:00,1.37525,1.37544,1.37416,1.37424,660
2021-08-18 05:00,1.37423,1.37459,1.37378,1.37427,749
2021-08-18 06:00,1.37426,1.37513,1.37309,1.37436,1889
2021-08-18 07:00,1.37436,1.37538,1.37376,1.37412,2022
2021-08-18 08:00,1.37411,1.37628,1.37377,1.37569,2616
2021-08-18 09:00,1.37573,1.37597,1.37474,1.37474,2240
2021-08-18 10:00,1.37474,1.37620,1.37470,1.37522,1552
2021-08-18 11:00,1.37520,1.37690,1.37475,1.37687,1708
2021-08-18 12:00,1.37686,1.37688,1.37585,1.37665,2333
2021-08-18 13:00,1.37666,1.37706,1.37573,1.37705,3109
2021-08-18 14:00,1.37704,1.37704,1.37477,1.37573,3147
2021-08-18 15:00,1.37570,1.37584,1.37455,1.37469,2720
2021-08-18 16:00,1.37467,1.37528,1.37447,1.37485,1556
2021-08-18 17:00,1.37485,1.37560,1.37465,1.37482,1074
2021-08-18 18:00,1.37480,1.37859,1.37480,1.37617,6340
2021-08-18 19:00,1.37612,1.37640,1.37544,1.37572,1836
2021-08-18 20:00,1.37570,1.37579,1.37508,1.37531,1086
2021-08-18 21:00,1.37536,1.37568,1.37471,1.37481,843
2021-08-18 22:00,1.37514,1.37575,1.37458,1.37557,908
2021-08-18 23:00,1.37556,1.37578,1.37424,1.37424,706
2021-08-19 00:00,1.37431,1.37496,1.37322,1.37331,1636
2021-08-19 01:00,1.37333,1.37387,1.37258,1.37266,1535
2021-08-19 02:00,1.37266,1.37308,1.37116,1.37193,1564
2021-08-19 03:00,1.37193,1.37202,1.37128,1.37197,1063
2021-08-19 04:00,1.37197,1.37227,1.37168,1.37207,622
2021-08-19 05:00,1.37207,1.37218,1.37117,1.37121,1792
2021-08-19 06:00,1.37121,1.37121,1.36990,1.37092,3291
2021-08-19 07:00,1.37090,1.37119,1.36902,1.36967,4806
2021-08-19 08:00,1.36966,1.36966,1.36741,1.36763,4473
2021-08-19 09:00,1.36764,1.36984,1.36652,1.36919,3564
2021-08-19 10:00,1.36920,1.36990,1.36849,1.36864,2702
2021-08-19 11:00,1.36868,1.36918,1.36800,1.36812,2663
2021-08-19 12:00,1.36810,1.36850,1.36724,1.36807,3297
2021-08-19 13:00,1.36806,1.36940,1.36690,1.36906,4977
2021-08-19 14:00,1.36904,1.36916,1.36566,1.36604,4840
2021-08-19 15:00,1.36604,1.36777,1.36524,1.36708,3975
2021-08-19 16:00,1.36706,1.36730,1.36529,1.36529,2036
2021-08-19 17:00,1.36531,1.36536,1.36464,1.36466,1501
2021-08-19 18:00,1.36465,1.36478,1.36370,1.36377,2844
2021-08-19 19:00,1.36373,1.36448,1.36316,1.36340,2153
2021-08-19 20:00,1.36336,1.36389,1.36326,1.36326,1253
2021-08-19 21:00,1.36345,1.36460,1.36304,1.36364,1183
2021-08-19 22:00,1.36364,1.36364,1.36310,1.36341,760
2021-08-19 23:00,1.36340,1.36347,1.36275,1.36297,647
2021-08-20 00:00,1.36298,1.36407,1.36298,1.36400,976
2021-08-20 01:00,1.36401,1.36410,1.36178,1.36240,2087
2021-08-20 02:00,1.36240,1.36257,1.36205,1.36220,1044
2021-08-20 03:00,1.36224,1.36311,1.36206,1.36294,919
2021-08-20 04:00,1.36292,1.36348,1.36292,1.36330,806
2021-08-20 05:00,1.36330,1.36345,1.36179,1.36330,1486
2021-08-20 06:00,1.36332,1.36350,1.36138,1.36184,2225
2021-08-20 07:00,1.36185,1.36267,1.36090,1.36175,4972
2021-08-20 08:00,1.36177,1.36294,1.36177,1.36217,2613
2021-08-20 09:00,1.36218,1.36224,1.36103,1.36177,1976
2021-08-20 10:00,1.36178,1.36222,1.36091,1.36195,1796
2021-08-20 11:00,1.36196,1.36206,1.36060,1.36116,1808
2021-08-20 12:00,1.36117,1.36146,1.36050,1.36050,2486
